experiment,stage,data_type,layer,minimum,maximum,maximum_abs,smallest_nonzero,zero_percent,observed_min_spacing,dynamic_range,FP16_range_ok,FP16_result,FP8_E4M3_range_ok,FP8_E4M3_result,FP8_E5M2_range_ok,FP8_E5M2_result,INT8_scale,INT8_quantization_step,INT8_zero_threshold,INT8_smallest_may_be_lost,INT8_result,INT16_scale,INT16_quantization_step,INT16_zero_threshold,INT16_smallest_may_be_lost,INT16_result
MobileNetV2_CIFAR100,inference,weights,features.2.conv.0.1.weight,1.0,1.0,1.0,1.0,0.0,0.0,1.0,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.007874015748031496,0.007874015748031496,0.003937007874015748,False,RANGE/STEP APPEARS ADEQUATE,3.051850947599719e-05,3.051850947599719e-05,1.5259254737998596e-05,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.2.conv.1.0.weight,-0.1721284240484237,0.1627719104290008,0.1721284240484237,9.304855666414367e-06,0.0,3.91155481338501e-08,18498.774212018867,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.0013553419216411316,0.0013553419216411316,0.0006776709608205658,True,SMALL VALUES MAY BE LOST,5.253102940410282e-06,5.253102940410282e-06,2.626551470205141e-06,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.2.conv.1.1.weight,1.0,1.0,1.0,1.0,0.0,0.0,1.0,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.007874015748031496,0.007874015748031496,0.003937007874015748,False,RANGE/STEP APPEARS ADEQUATE,3.051850947599719e-05,3.051850947599719e-05,1.5259254737998596e-05,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.2.conv.2.weight,-0.9951267838478088,0.9249810576438904,0.9951267838478088,0.0001102156020351,0.0,2.086162567138672e-07,9028.910294668573,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.007835643967305581,0.007835643967305581,0.0039178219836527904,True,SMALL VALUES MAY BE LOST,3.0369786182677963e-05,3.0369786182677963e-05,1.5184893091338981e-05,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.2.conv.3.weight,1.0,1.0,1.0,1.0,0.0,0.0,1.0,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.007874015748031496,0.007874015748031496,0.003937007874015748,False,RANGE/STEP APPEARS ADEQUATE,3.051850947599719e-05,3.051850947599719e-05,1.5259254737998596e-05,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.3.conv.0.0.weight,-0.3757611811161041,0.4394801557064056,0.4394801557064056,5.0292099331272766e-05,0.0,1.4901161193847656e-08,8738.552606674084,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.0034604736669795713,0.0034604736669795713,0.0017302368334897857,True,SMALL VALUES MAY BE LOST,1.3412279296438661e-05,1.3412279296438661e-05,6.706139648219331e-06,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.3.conv.0.1.weight,1.0,1.0,1.0,1.0,0.0,0.0,1.0,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.007874015748031496,0.007874015748031496,0.003937007874015748,False,RANGE/STEP APPEARS ADEQUATE,3.051850947599719e-05,3.051850947599719e-05,1.5259254737998596e-05,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.3.conv.1.0.weight,-0.119546040892601,0.1151913851499557,0.119546040892601,8.205725862353574e-06,0.0,6.565824151039125e-08,14568.612563704715,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.0009413074086031574,0.0009413074086031574,0.0004706537043015787,True,SMALL VALUES MAY BE LOST,3.6483669817987915e-06,3.6483669817987915e-06,1.8241834908993958e-06,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.3.conv.1.1.weight,1.0,1.0,1.0,1.0,0.0,0.0,1.0,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.007874015748031496,0.007874015748031496,0.003937007874015748,False,RANGE/STEP APPEARS ADEQUATE,3.051850947599719e-05,3.051850947599719e-05,1.5259254737998596e-05,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.3.conv.2.weight,-0.95285826921463,1.1678385734558103,1.1678385734558103,0.0001463847002014,0.0,2.9802322387695312e-08,7977.873178338082,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.009195579318549687,0.009195579318549687,0.004597789659274844,True,SMALL VALUES MAY BE LOST,3.564069257044619e-05,3.564069257044619e-05,1.7820346285223094e-05,False,RANGE/STEP APPEARS ADEQUATE
