data_type,stage,layer,dynamic_range,log10_dynamic_range,maximum_abs,smallest_nonzero,zero_percent
gradients,beginning,layer4.0.downsample.0.weight,335821779901.5054,11.526108859116809,0.0178461875766515,5.3141840835593465e-14,27.1514892578125
updates,end,layer4.0.conv2.weight,31600260159.884357,10.499690658110085,0.0011070985347032,3.5034475320827596e-14,0.0
weights,end,layer4.0.conv2.weight,2326133178.337503,9.366634575810028,0.1621730029582977,6.971784954901139e-11,0.0
activations,middle,layer4.1.conv2,45485499.35824176,7.657872966933752,0.3011650145053863,6.621121428906917e-09,0.0
inputs,end,layer1.0.conv1,33832602.947368406,7.5293354119822355,9.57875633239746,2.831220626831055e-07,33.800000000000004
biases,end,layer4.1.bn2.bias,47859.623639328325,4.6799692790662695,0.0790156424045562,1.6509875422343612e-06,0.0
